ID,Main Functionality,Use Case Name,Use Case Description,Main Demonstrated Value,"Priority
(H/M/L)","Complexity
(H/M/L)",Data / Input Requirements,Edmund AI Equivalent,Owner,Status,Source
AI TECHNICIAN — Fault Diagnosis & Guided Repair (KOBI Prototype),,,,,,,,,,,
1,AI Technician,BMW — Community Knowledge,"AI assistant answers BMW maintenance questions using non-official sources: forums, DIY guides, YouTube transcripts. Simulates a scenario where OEM docs are unavailable.","Demonstrate ability to work with non-official, unstructured documentation — forums and DIY guides instead of service manuals",H,M,"Scraped forum threads, DIY repair guides, error code databases",Unified Knowledge Base (but Edmund uses official docs only),Edo,,KOBI
2,AI Technician,Siemens — Complex Machine Diagnostics,"AI diagnoses a complex fault on a Siemens industrial machine (e.g. CNC, PLC-controlled). Uses service manuals, wiring diagrams, and error logs.",Show complex machine problem resolution using structured OEM documentation and PLC context,H,H,"Siemens service manuals, electrical schematics, PLC error logs, wiring diagrams",AI Technician + Root Cause Analysis (core Edmund product),Michal Korman,,KOBI
3,AI Technician,Small Family Factory — Production Line,AI manages a multi-machine leather cutting production line. Demonstrates cross-machine diagnostics where one machine fault cascades to others.,Show multi-machine / production line setup — how KOBI solves not only individual machines but the whole production line,H,H,"Machine manuals for each station, production line layout, inter-machine dependencies, maintenance logs","No direct equivalent (Edmund focuses on single-machine, not line-level orchestration)",Michal Haluska,,KOBI
SERVICE LOG DIGITALISATION (KOBI Prototype),,,,,,,,,,,
4,Service Log Digitalisation,Simple Service Log via Form,"Technician fills out a structured digital form after each intervention. Data is stored, timestamped, and linked to the machine/component.",Demonstrate structured data capture replacing paper-based maintenance journals,M,L,"Form template, machine registry, component taxonomy",Maintenance Journals (Edmund digitizes existing paper logs via scanning),,,KOBI
5,Service Log Digitalisation,Simple Service Log via Voice,Technician dictates the intervention report hands-free. Speech-to-text + AI structures the entry into the log automatically.,"Show hands-free, shop-floor-friendly input — technician speaks, AI structures the data",M,M,"Speech-to-text engine, form template, noise-tolerant audio processing",No direct equivalent (Edmund does not mention voice input),,,KOBI
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AI TECHNICIAN — Edmund-Derived Use Cases (from edmundai.com case studies),,,,,,,,,,,
,AI Technician,Complex Drive Behaviour (Allstein/Ceruti),"Recurring intermittent drive issue on a printing line. AI surfaces the power module supply as the probable root cause within minutes by cross-referencing PLC logs, schematics, and past incidents.","Root cause analysis on intermittent faults — linking PLC data, electrical schematics, and maintenance history",H,H,"PLC error logs, electrical schematics, maintenance journal entries, drive datasheets",Edmund Case Study #1 — core product demo,,,EDMUND
,AI Technician,Restart Sequence After Material Break (Cutting Line),"After a material break on a cutting machine, the restart requires a specific tension control sequence. AI instantly highlights the correct procedure.","Procedural guidance — AI retrieves the exact restart sequence from documentation, reducing human error",M,L,"Machine operating manual, restart procedures, tension control parameters",Edmund Case Study #2 — Guided Repair Steps,,,EDMUND
,AI Technician,Rare Error Recovery After Long Downtime (Allstein),An infrequent error appears after extended downtime. AI identifies relevant context from historical logs and confirms required corrective action.,Handling rare/edge-case faults where technician experience may be lacking — collective factory memory,M,M,"Historical maintenance logs, error code database, machine state data",Edmund Case Study #3 — Continuous Learning,,,EDMUND
,AI Technician,Parameter Tuning — Washing System (Allstein),Washing parameters produce incomplete cleaning. AI analyzes six parameters and recommends adjusting three for optimal results.,AI-assisted parameter optimization — moving beyond fault diagnosis into process tuning,M,M,"Machine parameter settings, quality inspection results, cleaning specs",Edmund Case Study #4 — Parameter Tuning,,,EDMUND
ADDITIONAL FEATURES — Edmund-Derived (features from edmundai.com not yet in KOBI shortlist),,,,,,,,,,,
,Root Cause Analysis,Cross-System Fault Tracing,"AI traces a fault across PLC logs, IoT sensor readings, and maintenance history to build a causal chain. Visualizes event timeline leading to the failure.","Demonstrate deep diagnostics — not just ""what is the error"" but ""why did it happen"" with full event trace",H,H,"PLC logs, IoT sensor streams, maintenance journal, electrical schematics",Root Cause Analysis (Edmund core feature),,,EDMUND
,Knowledge Unification,Unified Document Search Across Machines,"All manuals, schematics, datasheets, and maintenance logs are indexed and searchable from a single interface. AI understands context, not just keywords.","Show ""collective factory memory"" — any technician can find any information about any machine instantly",H,M,"PDFs of manuals, electrical schematics, datasheets, 3D drawings, maintenance records",All Knowledge Unified (Edmund core feature),,,EDMUND
,Electrical Schematics,Schematic Parsing & Component Graph,"AI reads electrical schematics (EPLAN/PDF), identifies components and their connections, builds a machine connectivity graph automatically.","Demonstrate deep hardware understanding — AI ""reads"" wiring diagrams, not just text",H,H,"Electrical schematics (EPLAN exports or PDF), component catalogs",Electrical Schematics parsing (Edmund data layer #1),,,EDMUND
,PLC Integration,PLC Code Analysis & Function Block Mapping,"AI reads PLC program exports, maps function blocks to physical components, understands control logic to support diagnostics.",Show that KOBI understands machine control logic — not just documentation but the actual program,H,H,"PLC program exports (Siemens TIA Portal, Codesys, etc.), I/O mapping tables",PLC Software analysis (Edmund data layer #3),,,EDMUND
,IoT / Condition Monitoring,Live Sensor Data Anomaly Detection,"AI monitors IoT sensor streams (temperature, vibration, pressure) and flags anomalies, triggering diagnostic tasks before failure occurs.",Demonstrate predictive/condition-based maintenance — move from reactive to proactive,M,H,"IoT sensor feeds (MQTT/OPC-UA), threshold definitions, machine baselines",IoT Data Inputs + Condition Monitoring (Edmund features),,,EDMUND
,Maintenance Automation,Preventive Maintenance Scheduling,"AI generates recurring maintenance plans based on machine usage hours, cycles, or calendar intervals. Auto-assigns tasks to technicians.",Automate routine scheduling — reduce missed PMs and optimize technician workload,M,M,"Machine usage counters, maintenance intervals from manuals, technician availability",Maintenance Automation — Preventive Scheduling (Edmund feature),,,EDMUND
,Maintenance Automation,Smart Reporting — Auto-Generated Summaries,AI automatically generates shift/daily/weekly maintenance reports from logged interventions without manual entry.,Eliminate reporting burden — reports write themselves from structured log data,L,M,"Service log entries, intervention timestamps, component/machine registry",Smart Reporting (Edmund feature),,,EDMUND
"SUGGESTED GAPS — Use Cases to Consider (not prominent in Edmund, potential KOBI differentiators)",,,,,,,,,,,
,AI Technician,Dark Factory / Unmanned Operation Support,"AI operates as the sole diagnostic layer in an unmanned or lights-out production environment. Autonomous fault detection, escalation, and remote guidance.",KOBI differentiator: demonstrate AI that can run diagnostics without any human present on the shop floor,H,H,"Full IoT integration, camera feeds (optional), PLC real-time data, escalation rules",No Edmund equivalent — Edmund assumes human technician present,,,GAP
,On-Premises AI,Air-Gapped / On-Prem Deployment Demo,"Demonstrate that KOBI runs entirely on local hardware (edge box) with no cloud dependency. Critical for defense, pharma, and high-security factories.",KOBI differentiator vs. Edmund: on-premises AI hardware — no data leaves the factory,H,M,"Edge compute hardware specs, local LLM model, network isolation config","Edmund appears cloud-based (Snowflake, PostgreSQL stack) — on-prem is KOBI advantage",,,GAP
,Knowledge Transfer,Tribal Knowledge Capture — Senior Technician Interview,"AI interviews a senior technician about machine quirks, undocumented fixes, and ""tricks of the trade."" Structures and stores this as searchable knowledge.",Capture expertise before retirement/turnover — the #1 pain point Edmund identifies in their mission,M,M,"Voice/text interview transcripts, guided questionnaire templates",Edmund mentions this as a mission goal but no specific feature for active capture,,,GAP
,Multi-Language,Multilingual Technician Interface,"Technician asks questions in their native language (SK, CZ, DE, PL). AI responds in the same language regardless of documentation language.",Critical for CEE market: Ukrainian/Romanian/Slovak workers operating German/English-documented machines,M,L,"Multilingual LLM, documentation in any language",Not mentioned by Edmund — potential KOBI advantage for CEE workforce diversity,,,GAP
,Spare Parts,Spare Parts Identification & Ordering,"From a fault diagnosis, AI identifies the needed spare part, cross-references inventory, and suggests ordering if stock is low.","Close the loop from diagnosis to procurement — reduce ""what part do I need?"" time",L,M,"Parts catalog / BOM, inventory system integration, supplier catalogs",Edmund mentions Parts & BOMs in case study but no dedicated feature shown,,,GAP
,,,,,,,,,,,
,,,,,,,,,,,
LEGEND,,,,,,,,,,,
KOBI,Original KOBI use cases from your shortlist,,,,,,,,,,
EDMUND,Use cases derived from Edmund AI website (case studies + features),,,,,,,,,,
GAP,Suggested gaps — potential KOBI differentiators not well-covered by Edmund,,,,,,,,,,